,0,1,2
factor,0.000473,0.000956,0.0
fairy,0.0,0.0,0.000475
familiar,0.0,0.000478,0.0
family,0.0,0.000478,0.0
far,0.0,0.0,0.002375
faster,0.0,0.000478,0.0
fastest,0.0,0.000478,0.0
fatigue,0.0,0.000478,0.0
favourite,0.0,0.0,0.000475
featured,0.0,0.000478,0.0
feel,0.000947,0.002868,0.00095
feeling,0.000473,0.003824,0.0
felt,0.000473,0.000956,0.001425
female,0.0,0.0,0.000475
fence,0.0,0.0,0.000475
ferry,0.0,0.0,0.00285
feuding,0.0,0.0,0.000475
fewer,0.000473,0.0,0.0
field,0.000473,0.000478,0.0
fifth,0.0,0.0,0.000475
filled,0.0,0.0,0.000475
filling,0.0,0.0,0.000475
final,0.0,0.0,0.000475
financial,0.0,0.001912,0.0
finish,0.0,0.000478,0.0
firm,0.0,0.000956,0.0
fissure,0.0,0.0,0.000475
fitbit,0.000473,0.0,0.0
fitting,0.0,0.0,0.000475
fjord,0.0,0.0,0.00285
flexible,0.000473,0.0,0.0
flexibly,0.000473,0.0,0.0
food,0.000473,0.0,0.0
forbidding,0.0,0.0,0.000475
forced,0.0,0.000478,0.0
forcing,0.0,0.0,0.000475
formidable,0.0,0.0,0.000475
fort,0.0,0.0,0.000475
forward,0.0,0.0,0.000475
fossil,0.000473,0.0,0.0
fractured,0.0,0.0,0.00095
freedom,0.0,0.000478,0.0
freezing,0.0,0.0,0.000475
frequent,0.000473,0.0,0.0
frequently,0.000473,0.0,0.0
friend,0.0,0.000956,0.0
friendship,0.0,0.000478,0.0
frozen,0.0,0.0,0.000475
frustration,0.0,0.000478,0.0
fuelling,0.0,0.000478,0.0
fulfilment,0.0,0.000478,0.0
fun,0.0,0.000478,0.0
function,0.000473,0.0,0.0
future,0.0,0.000956,0.0
gandhi,0.000473,0.0,0.0
gathered,0.0,0.0,0.000475
gen,0.0,0.010994,0.0
general,0.0,0.000478,0.0
generally,0.000473,0.0,0.0
generation,0.0,0.002868,0.0
gentle,0.0,0.0,0.000475
geography,0.0,0.0,0.000475
germany,0.000473,0.0,0.0
getting,0.0,0.000478,0.0
giant,0.0,0.0,0.000475
given,0.0,0.000478,0.000475
giving,0.000473,0.0,0.0
glacier,0.0,0.0,0.001425
glamourised,0.0,0.000478,0.0
global,0.000473,0.0,0.0
goal,0.0,0.000478,0.0
going,0.000473,0.001912,0.000475
good,0.0,0.000478,0.0
gorilla,0.000473,0.0,0.0
got,0.000473,0.0,0.000475
gotten,0.000473,0.0,0.0
gradually,0.000473,0.0,0.0
gravitas,0.0,0.0,0.000475
great,0.000473,0.0,0.0
greater,0.000473,0.000478,0.0
ground,0.00142,0.0,0.0
group,0.004261,0.000956,0.0
growing,0.0,0.000478,0.0
grønsvik,0.0,0.0,0.000475
guatemala,0.000473,0.0,0.0
ha,0.003314,0.00478,0.00095
habit,0.000947,0.0,0.0
habitable,0.0,0.0,0.000475
hadza,0.002367,0.0,0.0
half,0.0,0.000478,0.0
hand,0.000473,0.0,0.0
haraldsson,0.0,0.0,0.000475
harbour,0.0,0.0,0.000475
hard,0.0,0.001912,0.00095
harder,0.0,0.000478,0.0
hardly,0.000473,0.0,0.0
haven,0.0,0.000478,0.0
having,0.000947,0.000478,0.0
headed,0.0,0.0,0.000475
health,0.000473,0.000478,0.0
heard,0.000473,0.0,0.0
heart,0.0,0.0,0.000475
height,0.0,0.0,0.000475
helgeland,0.0,0.0,0.000475
helgelandsbrua,0.0,0.0,0.000475
help,0.00142,0.000956,0.0
helping,0.0,0.000478,0.0
henrik,0.0,0.0,0.000475
hidden,0.0,0.0,0.000475
hide,0.0,0.0,0.000475
high,0.0,0.000956,0.00095
higher,0.0,0.000478,0.00095
highest,0.0,0.000478,0.0
hill,0.0,0.0,0.000475
historian,0.0,0.0,0.000475
hollingdale,0.0,0.003346,0.0
home,0.0,0.002868,0.0
honour,0.000473,0.0,0.0
hope,0.0,0.000478,0.0
horizon,0.0,0.0,0.0019
horizontal,0.0,0.0,0.000475
hour,0.008523,0.003346,0.000475
house,0.000473,0.0,0.000475
household,0.0,0.000478,0.0
hugged,0.0,0.0,0.00095
human,0.011837,0.0,0.001425
hunched,0.0,0.0,0.000475
hustle,0.0,0.000956,0.0
hybrid,0.0,0.000478,0.0
hypervigilance,0.000473,0.0,0.0
hypothesis,0.000473,0.0,0.0
ibsen,0.0,0.0,0.000475
ice,0.0,0.0,0.00095
icecap,0.0,0.0,0.000475
identity,0.0,0.0,0.000475
ignore,0.0,0.000478,0.0
iii,0.0,0.0,0.000475
imagine,0.0,0.0,0.000475
imago,0.000473,0.0,0.0
immune,0.000473,0.0,0.0
impact,0.0,0.000478,0.0
important,0.000947,0.0,0.0
impossible,0.0,0.0,0.0019
improvement,0.0,0.000478,0.0
inability,0.0,0.000478,0.0
including,0.000473,0.000478,0.0
income,0.0,0.000956,0.0
increased,0.0,0.000956,0.0
increasing,0.0,0.000956,0.0
increasingly,0.0,0.000478,0.00095
independent,0.0,0.0,0.000475
index,0.0,0.000478,0.0
industry,0.0,0.000478,0.0
inevitable,0.0,0.000478,0.0
inflation,0.0,0.000478,0.0
influencing,0.000473,0.0,0.0
information,0.000947,0.0,0.0
infrequent,0.000473,0.0,0.0
ingenuity,0.0,0.0,0.00095
inhabited,0.0,0.0,0.000475
inhospitable,0.0,0.0,0.000475
inland,0.0,0.0,0.000475
insomnia,0.000473,0.0,0.0
instability,0.0,0.000956,0.0
institute,0.000473,0.0,0.0
integrate,0.0,0.000478,0.0
intended,0.0,0.000478,0.0
intensified,0.0,0.000478,0.0
intensifying,0.0,0.000478,0.0
interesting,0.000473,0.0,0.0
involve,0.0,0.0,0.000475
ireland,0.000473,0.0,0.0
isabella,0.000473,0.0,0.0
island,0.0,0.0,0.001425
isolated,0.000473,0.0,0.0
isolation,0.0,0.000478,0.0
jaded,0.0,0.000478,0.0
jagged,0.0,0.0,0.000475
jektvik,0.0,0.0,0.000475
job,0.0,0.00478,0.0
joined,0.0,0.0,0.000475
joking,0.0,0.0,0.000475
joost,0.0,0.0,0.0019
jotunheimen,0.0,0.0,0.000475
journey,0.000473,0.0,0.00285
juggling,0.0,0.000956,0.0
june,0.0,0.0,0.000475
just,0.00142,0.001434,0.00095
keeping,0.000473,0.000478,0.0
kept,0.000947,0.0,0.0
key,0.000947,0.000478,0.0
kid,0.0,0.000478,0.0
kilboghamn,0.0,0.0,0.000475
killed,0.0,0.0,0.000475
kilometre,0.0,0.0,0.000475
kim,0.0,0.000478,0.0
kind,0.000473,0.001434,0.0
king,0.0,0.0,0.000475
knew,0.0,0.000478,0.00095
know,0.000473,0.000956,0.0
knowledge,0.0,0.0,0.000475
known,0.000947,0.000956,0.000475
kystriksveien,0.0,0.0,0.004276
laboratory,0.000947,0.0,0.0
lack,0.0,0.000478,0.0
laid,0.000473,0.0,0.0
lake,0.0,0.0,0.000475
land,0.000473,0.0,0.0019
landscape,0.0,0.0,0.00095
lapped,0.0,0.0,0.000475
larger,0.000473,0.0,0.0
largest,0.0,0.0,0.00095
larsen,0.0,0.0,0.0019
late,0.0,0.00239,0.0
later,0.0,0.000478,0.00095
latest,0.0,0.000478,0.0
lay,0.0,0.0,0.00095
layer,0.000473,0.0,0.0
le,0.003314,0.000956,0.0
lead,0.0,0.000478,0.0
leader,0.0,0.0,0.000475
leafy,0.000473,0.0,0.0
learn,0.000473,0.0,0.0
leaving,0.0,0.0,0.000475
led,0.000947,0.000478,0.0
left,0.0,0.0,0.000475
legend,0.0,0.0,0.000475
lemur,0.000947,0.0,0.0
licensed,0.0,0.000478,0.0
life,0.0,0.001912,0.0
light,0.00142,0.0,0.0
like,0.00142,0.004302,0.006651
likely,0.00142,0.000478,0.0
line,0.000473,0.0,0.001425
linger,0.000473,0.0,0.0
link,0.0,0.000478,0.0
linked,0.0,0.000956,0.0
lion,0.000473,0.0,0.0
literary,0.0,0.0,0.000475
little,0.0,0.000478,0.000475
live,0.00142,0.0,0.0
lived,0.000473,0.0,0.0
living,0.0,0.000478,0.0
loaded,0.0,0.0,0.000475
local,0.0,0.0,0.000475
log,0.0,0.000478,0.0
long,0.0,0.000956,0.00095
longer,0.0,0.000478,0.0
longest,0.0,0.0,0.000475
look,0.0,0.0,0.000475
looking,0.0,0.0,0.00095
lookout,0.000473,0.0,0.0
loomed,0.0,0.0,0.000475
lopping,0.000473,0.0,0.0
los,0.000473,0.0,0.0
lost,0.000473,0.000478,0.0
lot,0.001894,0.001434,0.0
låvong,0.0,0.0,0.000475
madagascar,0.000947,0.0,0.0
maelstrom,0.0,0.0,0.000475
mainland,0.0,0.0,0.00095
maintain,0.0,0.000478,0.0
maintaining,0.000473,0.0,0.0
make,0.000947,0.001434,0.000475
making,0.0,0.000478,0.0
mammal,0.000473,0.0,0.0
manager,0.0,0.000478,0.0
manicured,0.0,0.0,0.000475
mantra,0.0,0.0,0.000475
map,0.0,0.0,0.000475
march,0.0,0.000478,0.0
marked,0.0,0.0,0.000475
marking,0.0,0.0,0.000475
mass,0.000473,0.0,0.0
match,0.000473,0.0,0.0
matt,0.0,0.003346,0.0
max,0.000473,0.0,0.0
maybe,0.000947,0.0,0.0
meadow,0.0,0.0,0.000475
meal,0.000473,0.0,0.0
mean,0.000473,0.000956,0.0
meandered,0.0,0.0,0.000475
meaningless,0.0,0.000478,0.0
meant,0.000473,0.0,0.00095
measured,0.000473,0.0,0.0
median,0.0,0.000956,0.0
medieval,0.000473,0.0,0.000475
medium,0.0,0.000956,0.0
member,0.000473,0.0,0.0
memory,0.000473,0.0,0.0
mental,0.0,0.000478,0.0
