,0,1,2
find,0.0,0.0,0.000813
finish,0.0,0.000806,0.0
fire,0.00395,0.0,0.0
firm,0.0,0.001612,0.0
first,0.0,0.000595,0.001201
fissure,0.0,0.0,0.000813
fitbit,0.00079,0.0,0.0
fitting,0.0,0.0,0.000813
five,0.0,0.0,0.000813
fjord,0.0,0.0,0.004879
flexible,0.00079,0.0,0.0
flexibly,0.00079,0.0,0.0
food,0.00079,0.0,0.0
forbidding,0.0,0.0,0.000813
forced,0.0,0.000806,0.0
forcing,0.0,0.0,0.000813
formidable,0.0,0.0,0.000813
fort,0.0,0.0,0.000813
forward,0.0,0.0,0.000813
fossil,0.00079,0.0,0.0
found,0.001458,0.0,0.0003
fractured,0.0,0.0,0.001626
freedom,0.0,0.000806,0.0
freezing,0.0,0.0,0.000813
frequent,0.00079,0.0,0.0
frequently,0.00079,0.0,0.0
friend,0.0,0.001612,0.0
friendship,0.0,0.000806,0.0
frozen,0.0,0.0,0.000813
frustration,0.0,0.000806,0.0
fuelling,0.0,0.000806,0.0
fulfilment,0.0,0.000806,0.0
fun,0.0,0.000806,0.0
function,0.00079,0.0,0.0
future,0.0,0.001612,0.0
gandhi,0.00079,0.0,0.0
gathered,0.0,0.0,0.000813
gen,0.0,0.018539,0.0
general,0.0,0.000806,0.0
generally,0.00079,0.0,0.0
generation,0.0,0.004836,0.0
gentle,0.0,0.0,0.000813
geography,0.0,0.0,0.000813
germany,0.00079,0.0,0.0
get,0.0,0.0,0.0
getting,0.0,0.000806,0.0
giant,0.0,0.0,0.000813
give,0.0,0.000806,0.0
given,0.0,0.000298,0.0003
giving,0.00079,0.0,0.0
glacier,0.0,0.0,0.00244
glamourised,0.0,0.000806,0.0
global,0.00079,0.0,0.0
go,0.0,0.0,0.000813
goal,0.0,0.000806,0.0
going,0.0,0.0,0.0
good,0.0,0.000806,0.0
gorilla,0.00079,0.0,0.0
got,0.000292,0.0,0.0003
gotten,0.00079,0.0,0.0
gradually,0.00079,0.0,0.0
gravitas,0.0,0.0,0.000813
great,0.00079,0.0,0.0
greater,0.000292,0.000298,0.0
ground,0.00237,0.0,0.0
group,0.002623,0.000595,0.0
growing,0.0,0.000806,0.0
grønsvik,0.0,0.0,0.000813
guatemala,0.00079,0.0,0.0
ha,0.0,0.0,0.0
habit,0.00158,0.0,0.0
habitable,0.0,0.0,0.000813
hadza,0.00395,0.0,0.0
half,0.0,0.000806,0.0
hand,0.00079,0.0,0.0
haraldsson,0.0,0.0,0.000813
harbour,0.0,0.0,0.000813
hard,0.0,0.00119,0.0006
harder,0.0,0.000806,0.0
hardly,0.00079,0.0,0.0
headed,0.0,0.0,0.000813
health,0.000292,0.000298,0.0
heard,0.00079,0.0,0.0
heart,0.0,0.0,0.000813
height,0.0,0.0,0.000813
helgeland,0.0,0.0,0.000813
helgelandsbrua,0.0,0.0,0.000813
help,0.000875,0.000595,0.0
helping,0.0,0.000806,0.0
henrik,0.0,0.0,0.000813
hidden,0.0,0.0,0.000813
hide,0.0,0.0,0.000813
high,0.0,0.000595,0.0006
higher,0.0,0.000298,0.0006
highest,0.0,0.000806,0.0
hill,0.0,0.0,0.000813
historian,0.0,0.0,0.000813
hollingdale,0.0,0.005642,0.0
home,0.0,0.004836,0.0
honour,0.00079,0.0,0.0
hope,0.0,0.000806,0.0
horizon,0.0,0.0,0.003253
horizontal,0.0,0.0,0.000813
hour,0.0,0.0,0.0
house,0.000292,0.0,0.0003
household,0.0,0.000806,0.0
however,0.0,0.0,0.0
hugged,0.0,0.0,0.001626
human,0.007287,0.0,0.000901
hunched,0.0,0.0,0.000813
hustle,0.0,0.001612,0.0
hybrid,0.0,0.000806,0.0
